,Locality,Average Housing Price,Standard Deviation of Housing Price,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017
145,MORWELL,200.75,1.984313483298443,200,200,200,200,200,200,200,206
146,OCEAN GROVE,373.5,9.785192895390463,360,360,370,370,378,380,380,390
147,PORTLAND,232.5,4.330127018922194,230,230,230,230,230,230,240,240
148,SALE,272.5,5.0,280,280,270,275,270,270,270,265
149,SEYMOUR,254.375,5.829611908180509,250,250,250,250,250,260,260,265
150,SHEPPARTON,266.875,4.284784125250653,260,260,265,270,270,270,270,270
151,SWAN HILL,240.625,4.635124054434789,230,240,240,240,245,245,240,245
152,TORQUAY,452.5,10.897247358851684,430,450,450,450,450,460,460,470
153,TRARALGON,273.125,4.284784125250653,270,270,270,270,270,275,280,280
154,WANAGARATTA,263.125,4.284784125250653,260,260,260,260,260,265,270,270
155,WARRAGUL,299.375,7.261843774138907,290,290,295,300,300,300,310,310
156,WARRNAMBOOL,290.625,2.9973947020704497,290,290,285,290,290,290,295,295
157,WODONGA,294.375,4.635124054434789,290,290,290,290,295,300,300,300
158,GROUP TOTAL,273.75,4.14578098794425,270,270,270,270,275,275,280,280
