STUDENT ID,DET_Region,METRO/NON-METRO,EDUCATION SECTOR,LOCAL GOVERNMENT AREA,SEX,STUDY STRAND,SES quartile (student residence),Country_of_birth,LOTE SPOKEN AT HOME,DESTINATION ,DESTINATION (including deferrals)
24079,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,F,VCE non-VET,Upper-middle,Australia,No,Looking for work,Looking for work
24080,NORTH-WESTERN VICTORIA,Metropolitan,Government,Whittlesea,F,VCAL only,Lower-middle,Australia,No,Looking for work,Looking for work
24081,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24082,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Cardinia,M,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24083,NORTH-EASTERN VICTORIA,Metropolitan,Independent,Boroondara,M,VCE non-VET,Highest,Australia,No,Bachelor degree,Bachelor degree
24084,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,F,VCE non-VET,Highest,Sri Lanka,Yes,Bachelor degree,Bachelor degree
24085,SOUTH-WESTERN VICTORIA,Non-Metropolitan,Independent,Greater Geelong,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24086,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Brimbank,F,VCE non-VET,Lower-middle,Other,Yes,Certificates/diplomas,Certificates/diplomas
24087,NORTH-WESTERN VICTORIA,Non-Metropolitan,Government,Gannawarra,M,VCE VET,Lowest,Australia,No,Certificates/diplomas,Certificates/diplomas
24088,NORTH-WESTERN VICTORIA,Metropolitan,Independent,Hume,F,VCE non-VET,Highest,Australia,Yes,Certificates/diplomas,Certificates/diplomas
24089,NORTH-EASTERN VICTORIA,Metropolitan,Government,Manningham,M,VCE non-VET,Highest,Iran,Yes,Certificates/diplomas,Certificates/diplomas
24090,SOUTH-EASTERN VICTORIA,Metropolitan,Independent,Bayside,M,VCE non-VET,Highest,China (excl. SARs and Taiwan Province),Yes,Certificates/diplomas,Certificates/diplomas
24091,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Frankston,F,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
24092,NORTH-WESTERN VICTORIA,Metropolitan,Adult,Hume,F,VCAL only,Upper-middle,Australia,No,Looking for work,Looking for work
24093,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Moonee Valley,M,VCE non-VET,Highest,China (excl. SARs and Taiwan Province),Yes,Bachelor degree,Bachelor degree
24094,SOUTH-EASTERN VICTORIA,Metropolitan,Catholic,Cardinia,M,VCE VET,Upper-middle,Australia,No,Looking for work,Looking for work
24095,SOUTH-EASTERN VICTORIA,Non-Metropolitan,Independent,Wellington,F,VCE non-VET,Lowest,Australia,No,Bachelor degree,Bachelor degree
24096,SOUTH-WESTERN VICTORIA,Metropolitan,Government,Hobsons Bay,M,VCE VET,Highest,Australia,Yes,Bachelor degree,Bachelor degree
24097,NORTH-WESTERN VICTORIA,Metropolitan,Government,Banyule,M,VCE non-VET,Highest,Australia,No,Certificates/diplomas,Certificates/diplomas
24098,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Greater Dandenong,M,VCE non-VET,Highest,China (excl. SARs and Taiwan Province),Yes,Certificates/diplomas,Certificates/diplomas
24099,NORTH-EASTERN VICTORIA,Metropolitan,Government,Whitehorse,F,VCE non-VET,Lower-middle,China (excl. SARs and Taiwan Province),Yes,Bachelor degree,Bachelor degree
24100,SOUTH-EASTERN VICTORIA,Metropolitan,Government,Casey,M,VCE non-VET,Lower-middle,Australia,No,Bachelor degree,Bachelor degree
