,Name,Services provided,Cost ($) ex GST 
151,CENTRE FOR CONTINUING EDUCATION INC,Education Services,104024
152,CENTRE FOR EXCELLENCE IN CHILD+FAMILY WELFARE INC,Education and Community Development Services,3200
153,CENTRE FOR STRATEGIC EDUCATION,"Professional Services (Research, Leadership and Professional Development)",1065
154,CENTURY INN (TRARALGON),"Professional Services (Research, Leadership and Professional Development)",2841
155,CEREBRAL PALSY EDUCATION CENTRE,Education and Community Development Services,418
156,CHAMBERS CONSULTING,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",10950
157,CHANDLER MACLEOD GROUP LIMITED,Recruitment Services,29614
158,CHANGEWORKS CONSULTING,Professional Services,4625
159,CHARLES STURT UNIVERSITY,"Professional Services (Research, Leadership and Professional Development)",3630
160,CHARTERHOUSE PARTNERSHIP,Recruitment Services,96754
161,CHAUDHRI CONSULTING PTY LTD,Professional Services,17500
162,CHERYL L DICKSON TWC HILLS,Education and Community Development Services,65578
163,CHOCOLATE STUDIOS PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",19681
164,CHRIS WARDLAW PTY LTD,Professional Services,18000
165,CHRISTOPHER SHEN CONSULTING,Professional Services,15506
166,CHURCHILL CONSULTANCY,Professional Services,9360
167,CIRCLE T INDUSTRIES PTY LTD,IT Services,2360
168,CITRIX ONLINE AUS PTY LTD,Professional Services,752
169,CITY OF GREATER BENDIGO,Education and Community Development Services,2093
170,CITY TECHNOLOGY,IT Services,2742
171,CIVICA EDUCATION PTY LIMITED,IT Project Management Services,44423
172,CLEAR HORIZON CONSULTING PTY LTD,Professional Services,4200
173,CLEAR SOLUTIONS,IT Services,8359
174,CLICKS RECRUIT AUSTRALIA,Contract Staff (Whole-of-Government State Purchase Contract),6802751
175,COACH IN A BOX PTY LTD,Education Services,170417
176,COFFEY ENVIRONMENTS AUSTRALIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",3400
177,COGNICARE PTY LTD,Professional Services,550
178,COLES COACHES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1241
179,COLMAR BRUNTON PTY LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",296929
180,COMMUNITY CHILD CARE ASSOCIATION INC,Education Services,150396
181,COMPRARA PTY LTD,Professional Services,102277
182,COMPREHENSIVE NEUROPSYCHOLOGICAL SERVICES,Education Services,8190
183,COMPUTERISED TECHNOLOGY,IT Services,21005
184,CONFERENCE INNOVATORS LTD,"Accommodation, Event, Functions and Conference",1478
185,CONSIDERED COMPLIANCE SERVICES PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",59940
186,CONSTRUCTING MODERN KNOWLEDGE LLC,Education Services,24807
187,CONSTRUCTION INFORMATION SYSTEMS LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",52110
188,CONTENDO (NZ) LTD,Professional Services,5000
189,CONTENT SECURITY PTY LTD,IT Project Management Services,60000
190,CONVERGE INTERNATIONAL INCORPORATING RESOLUTIONSRTK PTY LTD,HR Services,305589
191,COOL BANANAS SERVICES PTY LTD,IT Services,1182155
192,COONARA COMMUNITY HOUSE INC,Education and Community Development Services,300
193,CORDINER KING AND CO PTY LTD,Professional Services,17800
194,CORPORATE SCORECARD PTY LIMITED,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",57017
