,Name,Services provided,Cost ($) ex GST 
729,SPACES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",35344
730,SPATIAL VISION INNOVATIONS PTY LTD,Curriculum Development Services,550
731,SPEECH EASE SPEECH PATHOLOGY,Education Services,1451
732,SPEECH PATHOLOGY AUSTRALIA,Education and Community Development Services,1000
733,SPRINGVALE SERVICE FOR CHILDREN,Early Childhood Services,4320
734,ST JOHN AMBULANCE AUSTRALIA VICTORIA INC,"Professional Services (Research, Leadership and Professional Development)",186607
735,STAGING CONNECTIONS PTY LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",4117
736,STAMFORD PLAZA MELBOURNE,"Accommodation, Event, Functions and Conference",71252
737,STANNARDS,"Strategic Services and Advice for Audit, Fraud and Procurement",146287
738,STENNING + ASSOCIATES PTY LTD,Professional Services,33867
739,STREAMLINE MEDIA AND COMMUNICATIONS GROUP PTY LTD,Professional Services,118800
740,STRINI BUILDING SOLUTIONS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",9320
741,STRONGER SMARTER INSTITUTE LIMITED,Education Services,55000
742,STUART BECKLEY & ASSOCIATES PTY LTD,IT Services,34700
743,SUCCESS MEASURES,Recruitment Services,65555
744,SUNBURY COMMUNITY HEALTH CENTRE,Education and Community Development Services,767
745,SUPPORTING SUCCESS FOR CHILDREN WITH HEARING LOSS,Education and Community Development Services,11380
746,SWEETHEARTS FOUNDATION INC,Education Services,3000
747,SWINBURNE UNIVERSITY OF TECHNOLOGY,Education Services,106020
748,SYNERGISTIQ PTY LTD,"Professional Services (Research, Leadership and Professional Development)",440208
749,SYRIS CONSULTING PTY LTD,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",130124
750,T SAM + DA SANDFORD + HM SANDFORD,Professional Services,225
751,TAIT CONSULTANICES,IT Services,26773
752,TALENT INTERNATIONAL (VIC) PTY LTD,Contract Staff (Whole-of-Government State Purchase Contract),4142
753,TALENT2 PTY LTD,Recruitment Services,13181
754,TANJIL MOTOR INN,"Accommodation, Event, Functions and Conference",393
755,TECHNICATION SERVICES,IT Services,5285
756,TECH-SAVVY SOLUTIONS,"Professional Services (Research, Leadership and Professional Development)",110605
757,TEKNIK CONSULTING PTY LTD,IT Services,98229
758,TELSTRA CORPORATION LTD (6663),IT Services,4073
759,TF CHOICES LTD,HR Services,59160
760,TGM WIRED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",4139
761,THEME SOLUTIONS,IT Services,18182
762,THINK PRODUCTIONS,"Publishing, Printing, Promotions and Communications or Marketing Services",11105
763,THINK PSYCHOLOGISTS,Professional Services,1880
764,THOMAS DURYEA CONSULTING PTY LTD,IT Services,16980
765,THOMSON REUTERS PROFESSIONAL AUSTRALIA LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",54705
766,THOUGHTSPAN,Education Services,655
767,THREAT INTELLIGENCE PTY LTD,IT Services,151250
768,THREES A CROWD DESIGN PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",123201
769,TIMETABLING SOLUTIONS PTY LTD,Professional Services,6200
770,TIP TOP BLINDS (VICTORIA) PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",10405
771,TJB SERVICES PTY LTD,IT Services,93148
772,TJC EDUCATIONAL CONSULTANCY,Education and Community Development Services,12580
773,TO MAKE IT WORK PTY LTD,IT Services,3279
774,TOAST KITCHEN CAFE,"Accommodation, Event, Functions and Conference",7595
775,TOLL FAST,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",125
776,TORRESRESEARCH + WRITING,Professional Services,6000
777,TOTAL IT SUPPORT,IT Services,8324
778,TRADEWIND AUSTRALIA PTY LTD,Recruitment Services,3400
779,TRAN-C,"Publishing, Printing, Promotions and Communications or Marketing Services",6500
780,TREANE TECHNOLOGIES PTY LTD,IT Services,15675
781,TREND CRAFT BUILDING SERVICES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",371499
782,TRIGON CONSULTANTS PTY LTD,IT Services,15207
783,TRIPLE J IT SERVICES PTY LTD,IT Services,22731
784,TRUE TO LIFE WATER,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",6385
785,TRULINK PTY LTD,IT Services,13924
786,TRUTH AGENCY,"Publishing, Printing, Promotions and Communications or Marketing Services",49150
787,TWENTY + SIX ESPRESSO,"Accommodation, Event, Functions and Conference",26264
788,UMAI PTY LTD,Professional Services,38760
789,UNDERGROUND PUMP SUPPLIES PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",17228
790,UNIFIED AUDIO VISUAL SOLUTIONS,"Publishing, Printing, Promotions and Communications or Marketing Services",44718
791,UNIVERSITY OF MELBOURNE,"Professional Services (Research, Leadership and Professional Development)",2700056
792,UNIVERSITY OF SOUTH AUSTRALIA,Professional Services,20000
793,UNSTUCK LEARNING DESIGN PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",5000
794,UOM COMMERCIAL LTD,"Professional Services (Research, Leadership and Professional Development)",986611
795,URBIS PTY LTD,Professional Services,2136
796,UXC PROFESSIONAL SOLUTIONS PTY LTD,IT Project Management Services,450294
797,VALAD SOLUTIONS PTY LTD,"Professional Services (Research, Leadership and Professional Development)",77212
798,VALERIE HANNON CONSULTING LTD,Professional Services,4030
799,VALIANT COMMERCIAL FURNITURE,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",13281
800,VANDESTADT DESIGN PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",110
801,VAX HEALTH,HR Services,1160
802,VENTURA BUS LINES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1236
803,VET DEVELOPMENT CENTRE LTD,"Professional Services (Research, Leadership and Professional Development)",133000
804,VETASSESS,"Professional Services (Research, Leadership and Professional Development)",76734
805,VIBE SAVOY HOTEL MELBOURNE,"Accommodation, Event, Functions and Conference",22144
806,VICKI JONES PHOTOGRAPHY,"Publishing, Printing, Promotions and Communications or Marketing Services",492
807,VICSEG NEW FUTURES,Training Services,45000
808,VICTORIA LEGAL AID,Professional Services,600
809,VICTORIA RACING CLUB,"Accommodation, Event, Functions and Conference",3815
810,VICTORIA UNIVERSITY,"Professional Services (Research, Leadership and Professional Development)",1382427
811,VICTORIAN ABORIGINAL EDUCATION ASSOCIATION INC,"Professional Services (Research, Leadership and Professional Development)",13100
812,VICTORIAN APPLIED LEARNING ASSOCIATION INC,"Professional Services (Research, Leadership and Professional Development)",20000
813,VICTORIAN ASSOCIATION OF STATE SECONDARY PRINCIPALS INC,"Professional Services (Research, Leadership and Professional Development)",10000
814,VICTORIAN DEAF SOCIETY,Education and Community Development Services,11445
815,VICTORIAN GOVERNMENT SOLICITOR,Professional Services,9303
816,VICTORIAN PRINCIPALS ASSOCIATION INC,"Professional Services (Research, Leadership and Professional Development)",52545
817,VICTORIAN TAFE ASSOCIATION,"Professional Services (Research, Leadership and Professional Development)",80000
818,VICTORIAN YMCA ACCOMMODATION SERVICES PTY LTD,"Accommodation, Event, Functions and Conference",13282
819,VICTORIAN YMCA COMMUNITY PROGRAMMING PTY LTD,Education and Community Development Services,13636
820,VIEW PSYCHOLOGY,Professional Services,7936
821,VIOCORP INTERNATIONAL PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",8330
822,VISIONARY DESIGN DEVELOPMENT PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",13376
823,VISITS PTY LTD,IT Services,283294
824,VITS LANGUAGELINK,Education Services,21586
825,VITTORI COMMUNICATIONS,"Publishing, Printing, Promotions and Communications or Marketing Services",12338
826,VJ CONSULTING,IT Services,237527
827,VJA EDUCATION CONSULTANT,Professional Services,29264
828,WALLACE ITS PTY LTD,IT Services,30556
829,WALLIS CONSULTING GROUP PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",42834
830,WALLY GREEN HYGIENE SERVICES,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",372
831,WALTHAMIT,IT Services,13816
832,WAREHOUSING FULFILMENT DISTRIBUTION SOLUTIONS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",9700
833,WATHAURONG GLASS LIMITED,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",380
834,WATHAURUNG ABORIGINAL CORPORATION,Education and Community Development Services,200
835,WATTERSON CONSULTING,Education Services,45000
836,WAYAPA WUURRK PTY LTD,Education and Community Development Services,4000
837,WE ARE MOON HOUSE,"Publishing, Printing, Promotions and Communications or Marketing Services",400
838,WEBQEM PTY LTD,IT Services,6720
839,WEBSURVEY UNIT TRUST,"Professional Services (Research, Leadership and Professional Development)",77580
840,WENN CONSULTING,Professional Services,24120
841,WEP AUST PTY LTD,Education and Community Development Services,20425
842,WESTPAC VISA VGGPC,"Financial, Accounting, Audit, Taxation, Risk Management, Insurance Service",10179
843,WESTVIC STAFFING SOLUTIONS INC,"Professional Services (Research, Leadership and Professional Development)",49060
844,WHOLE SCHOOL PARTNERS PTY LTD,Professional Services,273
845,WILCOB PTY LTD,Education Services,385966
846,WILDE AND WOOLLARD QUANTITY SURVEYORS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",24000
847,WILLIAMS RAVI PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",9402
848,WIMMERA SOUTHERN MALLEE LOCAL LEARNING AND EMPLOYMENT NETWORK INC,Training Services,48560
849,WINNING SPIRIT PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",5744
850,WINSER CONSULTANCY,Professional Services,80621
851,WOLF INTERACTIVE PTY LTD,"Publishing, Printing, Promotions and Communications or Marketing Services",1320
852,WONKY TROLLEY,"Accommodation, Event, Functions and Conference",16576
853,WOODWARD MANAGEMENT CONSULTANTS,Professional Services,5460
854,WORK ABLE CONSULTING PTY LTD,Professional Services,3448
855,WORKFOCUS AUSTRALIA PTY LTD,Education and Community Development Services,409
856,WORKLOGIC PTY LTD,Professional Services,108021
857,WORMALD AUSTRALIA PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",1972
858,WRITERS REIGN,"Publishing, Printing, Promotions and Communications or Marketing Services",4950
859,WSC CONSULTING,Training Services,9923
860,WSP BUILDINGS PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",4500
861,WURUNDJERI TRIBE LAND AND COMPENSATION CULTURAL HERITAGE COUNCIL INC,Education and Community Development Services,1240
862,WW WEDDERBURN PTY LTD,"Utilities, Infrastructure/Sustainability, Transport and Project Management Services",450
863,WWITE PTY LTD,Professional Services,7000
864,YARN STRONG SISTA PTY LTD,"Professional Services (Research, Leadership and Professional Development)",47805
865,YARROWEE CREEK PASTORAL PTY LTD,Education and Community Development Services,2591
866,YOUNG AND WELL CRC LTD,Professional Services,1500
867,YOUNG MENS CHRISTIAN ASSOCIATION OF BALLARAT,"Accommodation, Event, Functions and Conference",655
868,YOUTH AFFAIRS COUNCIL OF VICTORIA INC,Education and Community Development Services,116913
869,YOUTH CONNECT,Education and Community Development Services,85272
870,YOUTHNOW INC,Education and Community Development Services,213412
871,ZEITEK PTY LTD,IT Services,21947
872,ZENITHOPTIMEDIA AUSTRALIA PTY LIMITED,"Publishing, Printing, Promotions and Communications or Marketing Services",459
873,ZINDEL PTY LTD,IT Services,16459
